"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1500000US060750101011","Block Group 1; Census Tract 101.01; San Francisco County; California","115962","15146",
"1500000US060750101012","Block Group 2; Census Tract 101.01; San Francisco County; California","47431","34108",
"1500000US060750101021","Block Group 1; Census Tract 101.02; San Francisco County; California","-","**",
"1500000US060750102011","Block Group 1; Census Tract 102.01; San Francisco County; California","166023","46008",
"1500000US060750102012","Block Group 2; Census Tract 102.01; San Francisco County; California","146711","31240",
"1500000US060750102021","Block Group 1; Census Tract 102.02; San Francisco County; California","192396","66168",
"1500000US060750102022","Block Group 2; Census Tract 102.02; San Francisco County; California","211625","89622",
"1500000US060750103001","Block Group 1; Census Tract 103; San Francisco County; California","153109","54691",
"1500000US060750103002","Block Group 2; Census Tract 103; San Francisco County; California","138173","114588",
"1500000US060750103003","Block Group 3; Census Tract 103; San Francisco County; California","149901","115089",
"1500000US060750104011","Block Group 1; Census Tract 104.01; San Francisco County; California","208487","119829",
"1500000US060750104012","Block Group 2; Census Tract 104.01; San Francisco County; California","140197","111593",
"1500000US060750104021","Block Group 1; Census Tract 104.02; San Francisco County; California","235441","111652",
"1500000US060750104022","Block Group 2; Census Tract 104.02; San Francisco County; California","191375","102606",
"1500000US060750104023","Block Group 3; Census Tract 104.02; San Francisco County; California","226667","172038",
"1500000US060750105001","Block Group 1; Census Tract 105; San Francisco County; California","170048","80001",
"1500000US060750105002","Block Group 2; Census Tract 105; San Francisco County; California","232853","22057",
"1500000US060750105003","Block Group 3; Census Tract 105; San Francisco County; California","170875","61416",
"1500000US060750106001","Block Group 1; Census Tract 106; San Francisco County; California","82988","15769",
"1500000US060750106002","Block Group 2; Census Tract 106; San Francisco County; California","-","**",
"1500000US060750106003","Block Group 3; Census Tract 106; San Francisco County; California","-","**",
"1500000US060750107011","Block Group 1; Census Tract 107.01; San Francisco County; California","31544","7251",
"1500000US060750107012","Block Group 2; Census Tract 107.01; San Francisco County; California","22083","5444",
"1500000US060750107021","Block Group 1; Census Tract 107.02; San Francisco County; California","78396","18670",
"1500000US060750107022","Block Group 2; Census Tract 107.02; San Francisco County; California","70481","60212",
"1500000US060750108001","Block Group 1; Census Tract 108; San Francisco County; California","225593","162910",
"1500000US060750108002","Block Group 2; Census Tract 108; San Francisco County; California","75521","41960",
"1500000US060750108003","Block Group 3; Census Tract 108; San Francisco County; California","171224","36224",
"1500000US060750109011","Block Group 1; Census Tract 109.01; San Francisco County; California","180588","81802",
"1500000US060750109012","Block Group 2; Census Tract 109.01; San Francisco County; California","208313","105965",
"1500000US060750109021","Block Group 1; Census Tract 109.02; San Francisco County; California","118167","50598",
"1500000US060750109022","Block Group 2; Census Tract 109.02; San Francisco County; California","176205","12564",
"1500000US060750110011","Block Group 1; Census Tract 110.01; San Francisco County; California","77259","57944",
"1500000US060750110012","Block Group 2; Census Tract 110.01; San Francisco County; California","135313","79004",
"1500000US060750110021","Block Group 1; Census Tract 110.02; San Francisco County; California","-","**",
"1500000US060750110022","Block Group 2; Census Tract 110.02; San Francisco County; California","-","**",
"1500000US060750110023","Block Group 3; Census Tract 110.02; San Francisco County; California","139453","115870",
"1500000US060750111011","Block Group 1; Census Tract 111.01; San Francisco County; California","105288","44649",
"1500000US060750111012","Block Group 2; Census Tract 111.01; San Francisco County; California","123355","18140",
"1500000US060750111013","Block Group 3; Census Tract 111.01; San Francisco County; California","126908","108263",
"1500000US060750111021","Block Group 1; Census Tract 111.02; San Francisco County; California","128603","67367",
"1500000US060750111022","Block Group 2; Census Tract 111.02; San Francisco County; California","83531","30144",
"1500000US060750112001","Block Group 1; Census Tract 112; San Francisco County; California","91838","35640",
"1500000US060750112002","Block Group 2; Census Tract 112; San Francisco County; California","149637","28564",
"1500000US060750112003","Block Group 3; Census Tract 112; San Francisco County; California","158182","51805",
"1500000US060750112004","Block Group 4; Census Tract 112; San Francisco County; California","212917","80587",
"1500000US060750113001","Block Group 1; Census Tract 113; San Francisco County; California","62604","53867",
"1500000US060750113002","Block Group 2; Census Tract 113; San Francisco County; California","28833","10311",
"1500000US060750117001","Block Group 1; Census Tract 117; San Francisco County; California","-","**",
"1500000US060750117002","Block Group 2; Census Tract 117; San Francisco County; California","-","**",
"1500000US060750117003","Block Group 3; Census Tract 117; San Francisco County; California","-","**",
"1500000US060750117004","Block Group 4; Census Tract 117; San Francisco County; California","112059","34236",
"1500000US060750118001","Block Group 1; Census Tract 118; San Francisco County; California","41471","4031",
"1500000US060750119011","Block Group 1; Census Tract 119.01; San Francisco County; California","113229","29960",
"1500000US060750119012","Block Group 2; Census Tract 119.01; San Francisco County; California","250,000+","***",
"1500000US060750119013","Block Group 3; Census Tract 119.01; San Francisco County; California","94306","27893",
"1500000US060750119021","Block Group 1; Census Tract 119.02; San Francisco County; California","113050","15911",
"1500000US060750119022","Block Group 2; Census Tract 119.02; San Francisco County; California","83092","24329",
"1500000US060750119023","Block Group 3; Census Tract 119.02; San Francisco County; California","57380","22308",
"1500000US060750120011","Block Group 1; Census Tract 120.01; San Francisco County; California","128095","30319",
"1500000US060750120012","Block Group 2; Census Tract 120.01; San Francisco County; California","71591","16112",
"1500000US060750120021","Block Group 1; Census Tract 120.02; San Francisco County; California","49219","40272",
"1500000US060750120022","Block Group 2; Census Tract 120.02; San Francisco County; California","99643","58971",
"1500000US060750121001","Block Group 1; Census Tract 121; San Francisco County; California","71985","21175",
"1500000US060750121002","Block Group 2; Census Tract 121; San Francisco County; California","157443","122219",
"1500000US060750121003","Block Group 3; Census Tract 121; San Francisco County; California","79333","15634",
"1500000US060750122021","Block Group 1; Census Tract 122.02; San Francisco County; California","37887","15464",
"1500000US060750122022","Block Group 2; Census Tract 122.02; San Francisco County; California","58940","36059",
"1500000US060750122031","Block Group 1; Census Tract 122.03; San Francisco County; California","-","**",
"1500000US060750122032","Block Group 2; Census Tract 122.03; San Francisco County; California","85278","64359",
"1500000US060750122041","Block Group 1; Census Tract 122.04; San Francisco County; California","-","**",
"1500000US060750122042","Block Group 2; Census Tract 122.04; San Francisco County; California","24716","7521",
"1500000US060750122043","Block Group 3; Census Tract 122.04; San Francisco County; California","93964","31051",
"1500000US060750123011","Block Group 1; Census Tract 123.01; San Francisco County; California","38571","15919",
"1500000US060750123012","Block Group 2; Census Tract 123.01; San Francisco County; California","-","**",
"1500000US060750123013","Block Group 3; Census Tract 123.01; San Francisco County; California","13813","1788",
"1500000US060750123021","Block Group 1; Census Tract 123.02; San Francisco County; California","93000","28718",
"1500000US060750123022","Block Group 2; Census Tract 123.02; San Francisco County; California","80174","37701",
"1500000US060750123023","Block Group 3; Census Tract 123.02; San Francisco County; California","-","**",
"1500000US060750123024","Block Group 4; Census Tract 123.02; San Francisco County; California","27568","11324",
"1500000US060750124031","Block Group 1; Census Tract 124.03; San Francisco County; California","43194","24834",
"1500000US060750124032","Block Group 2; Census Tract 124.03; San Francisco County; California","-","**",
"1500000US060750124041","Block Group 1; Census Tract 124.04; San Francisco County; California","23281","18909",
"1500000US060750124042","Block Group 2; Census Tract 124.04; San Francisco County; California","26373","15914",
"1500000US060750124043","Block Group 3; Census Tract 124.04; San Francisco County; California","50095","6720",
"1500000US060750124051","Block Group 1; Census Tract 124.05; San Francisco County; California","46961","6887",
"1500000US060750124052","Block Group 2; Census Tract 124.05; San Francisco County; California","170355","39724",
"1500000US060750124053","Block Group 3; Census Tract 124.05; San Francisco County; California","106017","68746",
"1500000US060750124061","Block Group 1; Census Tract 124.06; San Francisco County; California","60286","52750",
"1500000US060750124062","Block Group 2; Census Tract 124.06; San Francisco County; California","25458","13806",
"1500000US060750125021","Block Group 1; Census Tract 125.02; San Francisco County; California","14702","2359",
"1500000US060750125022","Block Group 2; Census Tract 125.02; San Francisco County; California","-","**",
"1500000US060750125023","Block Group 3; Census Tract 125.02; San Francisco County; California","18707","13278",
"1500000US060750125024","Block Group 4; Census Tract 125.02; San Francisco County; California","39632","30404",
"1500000US060750125031","Block Group 1; Census Tract 125.03; San Francisco County; California","15595","6171",
"1500000US060750125032","Block Group 2; Census Tract 125.03; San Francisco County; California","-","**",
"1500000US060750125033","Block Group 3; Census Tract 125.03; San Francisco County; California","68079","24406",
"1500000US060750125041","Block Group 1; Census Tract 125.04; San Francisco County; California","25667","9435",
"1500000US060750126011","Block Group 1; Census Tract 126.01; San Francisco County; California","187069","54386",
"1500000US060750126012","Block Group 2; Census Tract 126.01; San Francisco County; California","176375","11077",
"1500000US060750126021","Block Group 1; Census Tract 126.02; San Francisco County; California","248295","42707",
"1500000US060750126022","Block Group 2; Census Tract 126.02; San Francisco County; California","171621","26289",
"1500000US060750127001","Block Group 1; Census Tract 127; San Francisco County; California","250,000+","***",
"1500000US060750127002","Block Group 2; Census Tract 127; San Francisco County; California","250,000+","***",
"1500000US060750127003","Block Group 3; Census Tract 127; San Francisco County; California","154107","49606",
"1500000US060750128011","Block Group 1; Census Tract 128.01; San Francisco County; California","250,000+","***",
"1500000US060750128012","Block Group 2; Census Tract 128.01; San Francisco County; California","250,000+","***",
"1500000US060750128013","Block Group 3; Census Tract 128.01; San Francisco County; California","202889","163820",
"1500000US060750128021","Block Group 1; Census Tract 128.02; San Francisco County; California","169808","131190",
"1500000US060750128022","Block Group 2; Census Tract 128.02; San Francisco County; California","250,000+","***",
"1500000US060750129011","Block Group 1; Census Tract 129.01; San Francisco County; California","201339","41341",
"1500000US060750129012","Block Group 2; Census Tract 129.01; San Francisco County; California","220673","67386",
"1500000US060750129021","Block Group 1; Census Tract 129.02; San Francisco County; California","201850","24863",
"1500000US060750129022","Block Group 2; Census Tract 129.02; San Francisco County; California","225333","40610",
"1500000US060750129023","Block Group 3; Census Tract 129.02; San Francisco County; California","156797","141325",
"1500000US060750130011","Block Group 1; Census Tract 130.01; San Francisco County; California","224306","89852",
"1500000US060750130012","Block Group 2; Census Tract 130.01; San Francisco County; California","190702","100124",
"1500000US060750130021","Block Group 1; Census Tract 130.02; San Francisco County; California","250,000+","***",
"1500000US060750130022","Block Group 2; Census Tract 130.02; San Francisco County; California","199972","28427",
"1500000US060750131011","Block Group 1; Census Tract 131.01; San Francisco County; California","246898","39566",
"1500000US060750131012","Block Group 2; Census Tract 131.01; San Francisco County; California","206287","46455",
"1500000US060750131013","Block Group 3; Census Tract 131.01; San Francisco County; California","178929","127024",
"1500000US060750131014","Block Group 4; Census Tract 131.01; San Francisco County; California","150069","95299",
"1500000US060750131021","Block Group 1; Census Tract 131.02; San Francisco County; California","176528","166982",
"1500000US060750131022","Block Group 2; Census Tract 131.02; San Francisco County; California","250,000+","***",
"1500000US060750132001","Block Group 1; Census Tract 132; San Francisco County; California","216989","33406",
"1500000US060750132002","Block Group 2; Census Tract 132; San Francisco County; California","246202","72385",
"1500000US060750132003","Block Group 3; Census Tract 132; San Francisco County; California","195595","105780",
"1500000US060750132004","Block Group 4; Census Tract 132; San Francisco County; California","150781","122811",
"1500000US060750133001","Block Group 1; Census Tract 133; San Francisco County; California","250,000+","***",
"1500000US060750133002","Block Group 2; Census Tract 133; San Francisco County; California","231429","63403",
"1500000US060750133003","Block Group 3; Census Tract 133; San Francisco County; California","32981","24536",
"1500000US060750133004","Block Group 4; Census Tract 133; San Francisco County; California","-","**",
"1500000US060750133005","Block Group 5; Census Tract 133; San Francisco County; California","172500","164778",
"1500000US060750134011","Block Group 1; Census Tract 134.01; San Francisco County; California","180179","79390",
"1500000US060750134012","Block Group 2; Census Tract 134.01; San Francisco County; California","213438","58907",
"1500000US060750134021","Block Group 1; Census Tract 134.02; San Francisco County; California","213607","40305",
"1500000US060750135001","Block Group 1; Census Tract 135; San Francisco County; California","161324","56952",
"1500000US060750135002","Block Group 2; Census Tract 135; San Francisco County; California","193500","66227",
"1500000US060750135003","Block Group 3; Census Tract 135; San Francisco County; California","176343","118605",
"1500000US060750151001","Block Group 1; Census Tract 151; San Francisco County; California","137045","68714",
"1500000US060750151002","Block Group 2; Census Tract 151; San Francisco County; California","192198","40515",
"1500000US060750151003","Block Group 3; Census Tract 151; San Francisco County; California","99750","58687",
"1500000US060750152011","Block Group 1; Census Tract 152.01; San Francisco County; California","123382","44072",
"1500000US060750152012","Block Group 2; Census Tract 152.01; San Francisco County; California","82153","14372",
"1500000US060750152021","Block Group 1; Census Tract 152.02; San Francisco County; California","86196","53143",
"1500000US060750152022","Block Group 2; Census Tract 152.02; San Francisco County; California","171163","43353",
"1500000US060750153001","Block Group 1; Census Tract 153; San Francisco County; California","227625","83450",
"1500000US060750153002","Block Group 2; Census Tract 153; San Francisco County; California","142946","73543",
"1500000US060750154011","Block Group 1; Census Tract 154.01; San Francisco County; California","155217","47724",
"1500000US060750154012","Block Group 2; Census Tract 154.01; San Francisco County; California","86741","65028",
"1500000US060750154021","Block Group 1; Census Tract 154.02; San Francisco County; California","250,000+","***",
"1500000US060750154022","Block Group 2; Census Tract 154.02; San Francisco County; California","159912","139541",
"1500000US060750155001","Block Group 1; Census Tract 155; San Francisco County; California","134961","68650",
"1500000US060750155002","Block Group 2; Census Tract 155; San Francisco County; California","-","**",
"1500000US060750155003","Block Group 3; Census Tract 155; San Francisco County; California","21154","5221",
"1500000US060750155004","Block Group 4; Census Tract 155; San Francisco County; California","170125","35077",
"1500000US060750156001","Block Group 1; Census Tract 156; San Francisco County; California","-","**",
"1500000US060750156002","Block Group 2; Census Tract 156; San Francisco County; California","117273","24175",
"1500000US060750156003","Block Group 3; Census Tract 156; San Francisco County; California","69226","58653",
"1500000US060750157011","Block Group 1; Census Tract 157.01; San Francisco County; California","169500","54070",
"1500000US060750157012","Block Group 2; Census Tract 157.01; San Francisco County; California","136285","26398",
"1500000US060750157021","Block Group 1; Census Tract 157.02; San Francisco County; California","188750","65110",
"1500000US060750157022","Block Group 2; Census Tract 157.02; San Francisco County; California","250,000+","***",
"1500000US060750158011","Block Group 1; Census Tract 158.01; San Francisco County; California","102593","59784",
"1500000US060750158012","Block Group 2; Census Tract 158.01; San Francisco County; California","182308","83989",
"1500000US060750158013","Block Group 3; Census Tract 158.01; San Francisco County; California","82109","25512",
"1500000US060750158021","Block Group 1; Census Tract 158.02; San Francisco County; California","179111","19979",
"1500000US060750158022","Block Group 2; Census Tract 158.02; San Francisco County; California","130956","32933",
"1500000US060750159001","Block Group 1; Census Tract 159; San Francisco County; California","152860","120135",
"1500000US060750159002","Block Group 2; Census Tract 159; San Francisco County; California","-","**",
"1500000US060750159003","Block Group 3; Census Tract 159; San Francisco County; California","100139","69113",
"1500000US060750159004","Block Group 4; Census Tract 159; San Francisco County; California","138993","115616",
"1500000US060750160001","Block Group 1; Census Tract 160; San Francisco County; California","50234","37960",
"1500000US060750160002","Block Group 2; Census Tract 160; San Francisco County; California","136403","1022",
"1500000US060750161011","Block Group 1; Census Tract 161.01; San Francisco County; California","25938","13640",
"1500000US060750161012","Block Group 2; Census Tract 161.01; San Francisco County; California","150234","148037",
"1500000US060750161021","Block Group 1; Census Tract 161.02; San Francisco County; California","67738","57978",
"1500000US060750161022","Block Group 2; Census Tract 161.02; San Francisco County; California","-","**",
"1500000US060750162001","Block Group 1; Census Tract 162; San Francisco County; California","180789","109115",
"1500000US060750162002","Block Group 2; Census Tract 162; San Francisco County; California","228125","171895",
"1500000US060750162003","Block Group 3; Census Tract 162; San Francisco County; California","159214","136478",
"1500000US060750163001","Block Group 1; Census Tract 163; San Francisco County; California","-","**",
"1500000US060750163002","Block Group 2; Census Tract 163; San Francisco County; California","130905","30102",
"1500000US060750163003","Block Group 3; Census Tract 163; San Francisco County; California","207986","121195",
"1500000US060750163004","Block Group 4; Census Tract 163; San Francisco County; California","81063","46438",
"1500000US060750164001","Block Group 1; Census Tract 164; San Francisco County; California","227426","98522",
"1500000US060750164002","Block Group 2; Census Tract 164; San Francisco County; California","159038","82424",
"1500000US060750164003","Block Group 3; Census Tract 164; San Francisco County; California","218523","80381",
"1500000US060750165001","Block Group 1; Census Tract 165; San Francisco County; California","150536","50043",
"1500000US060750165002","Block Group 2; Census Tract 165; San Francisco County; California","176989","92408",
"1500000US060750165003","Block Group 3; Census Tract 165; San Francisco County; California","210625","67855",
"1500000US060750165004","Block Group 4; Census Tract 165; San Francisco County; California","172760","34232",
"1500000US060750166011","Block Group 1; Census Tract 166.01; San Francisco County; California","176500","61523",
"1500000US060750166012","Block Group 2; Census Tract 166.01; San Francisco County; California","134167","67875",
"1500000US060750166021","Block Group 1; Census Tract 166.02; San Francisco County; California","207640","28297",
"1500000US060750167001","Block Group 1; Census Tract 167; San Francisco County; California","207028","44896",
"1500000US060750167002","Block Group 2; Census Tract 167; San Francisco County; California","250,000+","***",
"1500000US060750167003","Block Group 3; Census Tract 167; San Francisco County; California","250,000+","***",
"1500000US060750167004","Block Group 4; Census Tract 167; San Francisco County; California","211103","36981",
"1500000US060750168011","Block Group 1; Census Tract 168.01; San Francisco County; California","196964","62470",
"1500000US060750168012","Block Group 2; Census Tract 168.01; San Francisco County; California","92938","18217",
"1500000US060750168013","Block Group 3; Census Tract 168.01; San Francisco County; California","234345","69206",
"1500000US060750168021","Block Group 1; Census Tract 168.02; San Francisco County; California","140536","96809",
"1500000US060750168022","Block Group 2; Census Tract 168.02; San Francisco County; California","-","**",
"1500000US060750168023","Block Group 3; Census Tract 168.02; San Francisco County; California","163125","70960",
"1500000US060750169001","Block Group 1; Census Tract 169; San Francisco County; California","148333","128948",
"1500000US060750169002","Block Group 2; Census Tract 169; San Francisco County; California","117083","88068",
"1500000US060750169003","Block Group 3; Census Tract 169; San Francisco County; California","170417","60927",
"1500000US060750170001","Block Group 1; Census Tract 170; San Francisco County; California","250,000+","***",
"1500000US060750170002","Block Group 2; Census Tract 170; San Francisco County; California","250,000+","***",
"1500000US060750170003","Block Group 3; Census Tract 170; San Francisco County; California","226382","55080",
"1500000US060750170004","Block Group 4; Census Tract 170; San Francisco County; California","226406","68515",
"1500000US060750171011","Block Group 1; Census Tract 171.01; San Francisco County; California","250,000+","***",
"1500000US060750171012","Block Group 2; Census Tract 171.01; San Francisco County; California","202381","93121",
"1500000US060750171013","Block Group 3; Census Tract 171.01; San Francisco County; California","131406","35662",
"1500000US060750171021","Block Group 1; Census Tract 171.02; San Francisco County; California","240294","57478",
"1500000US060750171022","Block Group 2; Census Tract 171.02; San Francisco County; California","173125","85205",
"1500000US060750171023","Block Group 3; Census Tract 171.02; San Francisco County; California","153918","29034",
"1500000US060750176021","Block Group 1; Census Tract 176.02; San Francisco County; California","145883","85655",
"1500000US060750176022","Block Group 2; Census Tract 176.02; San Francisco County; California","-","**",
"1500000US060750176023","Block Group 3; Census Tract 176.02; San Francisco County; California","-","**",
"1500000US060750176031","Block Group 1; Census Tract 176.03; San Francisco County; California","81334","44935",
"1500000US060750176032","Block Group 2; Census Tract 176.03; San Francisco County; California","77766","35950",
"1500000US060750176033","Block Group 3; Census Tract 176.03; San Francisco County; California","14710","10089",
